"iso_surv_epidemio2";"diff_dc_hosp_resid";"diff_dc_etab_resid"
"2020-S01";3;0
"2020-S02";0;0
"2020-S03";0;0
"2020-S04";0;0
"2020-S05";0;0
"2020-S06";0;0
"2020-S07";0;0
"2020-S08";0;0
"2020-S09";17;26
"2020-S10";47;146
"2020-S11";195;654
"2020-S12";580;1980
"2020-S13";435;1350
"2020-S14";534;1559
"2020-S15";634;1645
"2020-S16";520;1307
"2020-S17";506;895
"2020-S18";258;448
"2020-S19";187;400
"2020-S20";144;312
"2020-S21";71;148
"2020-S22";86;113
"2020-S23";49;58
"2020-S24";36;27
"2020-S25";21;27
"2020-S26";6;22
"2020-S27";58;140
"2020-S28";5;13
"2020-S29";2;3
"2020-S30";10;20
"2020-S31";9;8
"2020-S32";3;7
"2020-S33";20;12
"2020-S34";16;15
"2020-S35";19;10
"2020-S36";13;11
"2020-S37";34;48
"2020-S38";82;105
"2020-S39";97;124
"2020-S40";59;113
"2020-S41";79;144
"2020-S42";114;176
"2020-S43";241;378
"2020-S44";356;762
"2020-S45";469;1164
"2020-S46";518;1418
"2020-S47";591;1599
"2020-S48";524;1195
"2020-S49";484;1025
"2020-S50";459;983
"2020-S51";397;838
"2020-S52";440;749
"2020-S53";343;672
"2021-S01";412;855
"2021-S02";370;942
"2021-S03";331;763
"2021-S04";373;901
"2021-S05";353;874
"2021-S06";366;685
"2021-S07";291;533
"2021-S08";222;412
"2021-S09";131;259
"2021-S10";125;162
"2021-S11";42;66
"2021-S12";65;113
"2021-S13";42;47
"2021-S14";45;50
"2021-S15";49;48
"2021-S16";35;44
"2021-S17";46;42
"2021-S18";31;40
"2021-S19";32;41
"2021-S20";25;37
"2021-S21";13;32
"2021-S22";7;15
"2021-S23";13;6
"2021-S24";4;7
"2021-S25";9;12
"2021-S26";6;29
"2021-S27";2;0
"2021-S28";2;6
"2021-S29";3;2
"2021-S30";8;15
"2021-S31";10;20
"2021-S32";17;34
"2021-S33";18;44
"2021-S34";21;52
"2021-S35";21;64
"2021-S36";18;26
"2021-S37";22;45
"2021-S38";15;18
"2021-S39";12;22
"2021-S40";7;7
"2021-S41";3;10
"2021-S42";1;7
"2021-S43";5;4
"2021-S44";7;8
"2021-S45";10;13
"2021-S46";9;6
"2021-S47";11;14
"2021-S48";18;29
"2021-S49";13;42
"2021-S50";18;38
"2021-S51";15;46
"2021-S52";33;72
"2022-S01";42;65
"2022-S02";33;39
