"iso_surv_epidemio2";"diff_cas_conf_resident";"diff_cas_conf_personnel"
"1900-S01";264;315
"2020-S01";21;5
"2020-S02";0;0
"2020-S03";0;0
"2020-S04";0;0
"2020-S05";0;0
"2020-S06";0;1
"2020-S07";0;0
"2020-S08";0;0
"2020-S09";124;40
"2020-S10";509;234
"2020-S11";2159;1060
"2020-S12";6338;3034
"2020-S13";5686;2386
"2020-S14";5170;3661
"2020-S15";5628;3205
"2020-S16";5416;2615
"2020-S17";3983;2173
"2020-S18";2126;1164
"2020-S19";2053;696
"2020-S20";955;474
"2020-S21";684;329
"2020-S22";486;304
"2020-S23";252;181
"2020-S24";264;159
"2020-S25";307;149
"2020-S26";103;112
"2020-S27";536;211
"2020-S28";132;71
"2020-S29";100;84
"2020-S30";144;82
"2020-S31";75;76
"2020-S32";94;111
"2020-S33";203;138
"2020-S34";262;236
"2020-S35";290;401
"2020-S36";668;507
"2020-S37";1160;781
"2020-S38";1771;1132
"2020-S39";1725;1066
"2020-S40";1639;1100
"2020-S41";2960;1834
"2020-S42";5002;2819
"2020-S43";9876;5195
"2020-S44";12846;7420
"2020-S45";15048;8673
"2020-S46";14210;6969
"2020-S47";12353;6282
"2020-S48";8638;4236
"2020-S49";7941;4105
"2020-S50";7846;3927
"2020-S51";7403;3677
"2020-S52";5524;2714
"2020-S53";5575;2609
"2021-S01";7243;3726
"2021-S02";8088;3890
"2021-S03";7332;3879
"2021-S04";7147;3566
"2021-S05";6949;3561
"2021-S06";5248;2792
"2021-S07";3927;2447
"2021-S08";3249;1992
"2021-S09";2059;1736
"2021-S10";1738;1028
"2021-S11";742;637
"2021-S12";1742;1158
"2021-S13";1574;1109
"2021-S14";1342;1056
"2021-S15";1338;1173
"2021-S16";1358;983
"2021-S17";1315;853
"2021-S18";903;617
"2021-S19";590;396
"2021-S20";561;339
"2021-S21";422;269
"2021-S22";228;125
"2021-S23";203;115
"2021-S24";128;135
"2021-S25";96;56
"2021-S26";257;141
"2021-S27";59;72
"2021-S28";101;108
"2021-S29";238;335
"2021-S30";427;378
"2021-S31";770;468
"2021-S32";878;544
"2021-S33";812;485
"2021-S34";823;339
"2021-S35";599;251
"2021-S36";497;226
"2021-S37";328;152
"2021-S38";328;123
"2021-S39";244;90
"2021-S40";207;74
"2021-S41";166;58
"2021-S42";143;78
"2021-S43";121;83
"2021-S44";107;71
"2021-S45";287;139
"2021-S46";356;259
"2021-S47";617;490
"2021-S48";922;763
"2021-S49";1085;833
"2021-S50";1058;866
"2021-S51";1156;967
"2021-S52";2428;2382
"2022-S01";5074;4998
"2022-S02";4197;3262
